index,uFilename,uFirstSlice,uLastSlice,uAlgorithm,folder1,folder2,folder3,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdScale,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,thresholdPercent
53,20200518__A01_G001_0019_ch1.tif,,,,,,,20200525.0,15:24:17,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,29.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0019_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0019_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0019_ch1,,
54,20200518__A01_G001_0019_ch2.tif,,,,,,,20200525.0,15:10:39,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,29.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,381.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0019_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0019_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0019_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0019_ch2.tif,
55,20200518__A01_G001_0020,12.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,20200518__A01_G001_0020_ch1.tif,,,,,,,20200525.0,15:24:24,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,34.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0020_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0020_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0020_ch1,,
57,20200518__A01_G001_0020_ch2.tif,,,,,,,20200525.0,15:10:53,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,34.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,520.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0020_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0020_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0020_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0020_ch2.tif,
58,20200518__A01_G001_0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20200518__A01_G001_0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20200518__A01_G001_0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20200518__A01_G001_0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,20200518__A01_G001_0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
