path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase
,20200724__A01_G001_0021_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:16:56,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0021_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0021_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0021_ch2
,20200724__A01_G001_0022_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:18:37,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0022_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0022_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0022_ch2
,20200724__A01_G001_0023_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:19:10,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0023_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0023_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0023_ch2
,20200724__A01_G001_0024_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:19:30,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0024_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0024_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0024_ch2
,20200724__A01_G001_0025_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:21:11,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0025_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0025_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0025_ch2
,20200724__A01_G001_0026_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:21:41,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0026_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0026_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0026_ch2
,20200724__A01_G001_0027_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:22:04,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0027_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0027_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0027_ch2
,20200724__A01_G001_0028_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:23:33,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0028_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0028_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0028_ch2
,20200724__A01_G001_0029_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:24:08,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0029_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0029_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0029_ch2
,20200724__A01_G001_0030_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:24:41,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0030_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0030_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0030_ch2
,20200724__A01_G001_0031_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:26:08,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0031_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0031_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0031_ch2
,20200724__A01_G001_0032_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:26:42,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0032_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0032_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0032_ch2
,20200724__A01_G001_0033_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:27:04,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0033_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0033_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0033_ch2
,20200724__A01_G001_0034_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:28:29,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0034_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0034_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0034_ch2
,20200724__A01_G001_0035_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:29:17,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0035_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0035_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0035_ch2
